Experiment Cora-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth-False-5-5 - 2025-09-21 06:29:55:
Running experiment Cora-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth-False-5-5...
Experiment Cora-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth-False-5-5 output:
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Computers
Split sizes | train=1624, val=542, test=542 (mode=public, shot=N/A)
[Epoch 0171] loss=9.7890 cls=0.3161 smmd=-0.0305 ct=7.1421 rec=1.1926 | train/val/test=0.913/0.841/0.852 | c=0.998347
[Epoch 0172] loss=9.7842 cls=0.3167 smmd=-0.0331 ct=7.1431 rec=1.1924 | train/val/test=0.913/0.839/0.854 | c=0.998347
[Epoch 0173] loss=9.7792 cls=0.3166 smmd=-0.0354 ct=7.1439 rec=1.1923 | train/val/test=0.913/0.843/0.852 | c=0.998347
[Epoch 0174] loss=9.7869 cls=0.3161 smmd=-0.0308 ct=7.1430 rec=1.1922 | train/val/test=0.913/0.843/0.854 | c=0.998347
[Epoch 0175] loss=9.7803 cls=0.3156 smmd=-0.0336 ct=7.1421 rec=1.1922 | train/val/test=0.913/0.843/0.854 | c=0.998347
[Epoch 0176] loss=9.7832 cls=0.3157 smmd=-0.0320 ct=7.1421 rec=1.1921 | train/val/test=0.913/0.843/0.852 | c=0.998347
[Epoch 0177] loss=9.7788 cls=0.3157 smmd=-0.0340 ct=7.1426 rec=1.1920 | train/val/test=0.913/0.843/0.851 | c=0.998347
[Epoch 0178] loss=9.7787 cls=0.3156 smmd=-0.0337 ct=7.1421 rec=1.1919 | train/val/test=0.913/0.841/0.852 | c=0.998347
[Epoch 0179] loss=9.7778 cls=0.3160 smmd=-0.0342 ct=7.1422 rec=1.1918 | train/val/test=0.913/0.841/0.854 | c=0.998347
[Epoch 0180] loss=9.7818 cls=0.3160 smmd=-0.0320 ct=7.1420 rec=1.1918 | train/val/test=0.914/0.843/0.856 | c=0.998347
[Epoch 0181] loss=9.7807 cls=0.3152 smmd=-0.0324 ct=7.1414 rec=1.1919 | train/val/test=0.914/0.841/0.856 | c=0.998347
[Epoch 0182] loss=9.7798 cls=0.3153 smmd=-0.0328 ct=7.1413 rec=1.1919 | train/val/test=0.912/0.843/0.854 | c=0.998347
[Epoch 0183] loss=9.7821 cls=0.3163 smmd=-0.0316 ct=7.1412 rec=1.1917 | train/val/test=0.913/0.841/0.852 | c=0.998347
[Epoch 0184] loss=9.7759 cls=0.3159 smmd=-0.0348 ct=7.1411 rec=1.1918 | train/val/test=0.914/0.841/0.856 | c=0.998347
[Epoch 0185] loss=9.7766 cls=0.3151 smmd=-0.0346 ct=7.1414 rec=1.1920 | train/val/test=0.913/0.843/0.856 | c=0.998347
[Epoch 0186] loss=9.7786 cls=0.3155 smmd=-0.0334 ct=7.1407 rec=1.1919 | train/val/test=0.912/0.841/0.854 | c=0.998347
[Epoch 0187] loss=9.7794 cls=0.3162 smmd=-0.0326 ct=7.1400 rec=1.1917 | train/val/test=0.913/0.841/0.852 | c=0.998347
[Epoch 0188] loss=9.7855 cls=0.3152 smmd=-0.0294 ct=7.1396 rec=1.1919 | train/val/test=0.914/0.839/0.852 | c=0.998347
[Epoch 0189] loss=9.7768 cls=0.3155 smmd=-0.0340 ct=7.1404 rec=1.1918 | train/val/test=0.913/0.839/0.852 | c=0.998347
[Epoch 0190] loss=9.7797 cls=0.3161 smmd=-0.0325 ct=7.1409 rec=1.1917 | train/val/test=0.913/0.841/0.854 | c=0.998347
[Epoch 0191] loss=9.7798 cls=0.3156 smmd=-0.0323 ct=7.1408 rec=1.1917 | train/val/test=0.913/0.843/0.854 | c=0.998347
[Epoch 0192] loss=9.7753 cls=0.3151 smmd=-0.0344 ct=7.1396 rec=1.1919 | train/val/test=0.913/0.843/0.851 | c=0.998347
[Epoch 0193] loss=9.7775 cls=0.3161 smmd=-0.0337 ct=7.1401 rec=1.1917 | train/val/test=0.913/0.839/0.852 | c=0.998347
[Epoch 0194] loss=9.7882 cls=0.3164 smmd=-0.0291 ct=7.1412 rec=1.1919 | train/val/test=0.914/0.839/0.852 | c=0.998347
[Epoch 0195] loss=9.7863 cls=0.3152 smmd=-0.0302 ct=7.1407 rec=1.1922 | train/val/test=0.913/0.843/0.851 | c=0.998347
[Epoch 0196] loss=9.7917 cls=0.3158 smmd=-0.0277 ct=7.1404 rec=1.1922 | train/val/test=0.913/0.843/0.851 | c=0.998347
[Epoch 0197] loss=9.7732 cls=0.3170 smmd=-0.0374 ct=7.1408 rec=1.1921 | train/val/test=0.914/0.843/0.851 | c=0.998347
[Epoch 0198] loss=9.7754 cls=0.3166 smmd=-0.0362 ct=7.1407 rec=1.1922 | train/val/test=0.914/0.841/0.851 | c=0.998347
[Epoch 0199] loss=9.7832 cls=0.3154 smmd=-0.0319 ct=7.1405 rec=1.1923 | train/val/test=0.914/0.839/0.852 | c=0.998347
=== Best @ epoch 70: val=0.8469, test=0.8542 ===

==================================================
Experiment Cora-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth-False-5-5 - 2025-09-21 06:29:55:
Running experiment Cora-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth-False-5-5...
Experiment Cora-/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth-False-5-5 output:
Parsed from filename: Pretrained backbone is Hyperbolic.
Pretrain dataset overridden by checkpoint: PubMed -> Computers
Split sizes | train=1624, val=542, test=542 (mode=public, shot=N/A)
[Epoch 0000] loss=20.8605 cls=1.9507 smmd=4.2581 ct=6.8982 rec=1.3889 | train/val/test=0.299/0.317/0.295 | c=0.998347
[Epoch 0001] loss=20.1296 cls=1.8593 smmd=3.9343 ct=6.8907 rec=1.3913 | train/val/test=0.299/0.317/0.295 | c=0.998347
[Epoch 0002] loss=19.5822 cls=1.8181 smmd=3.6784 ct=6.8800 rec=1.3935 | train/val/test=0.299/0.317/0.295 | c=0.998347
[Epoch 0003] loss=18.9359 cls=1.8015 smmd=3.3674 ct=6.8642 rec=1.3935 | train/val/test=0.299/0.317/0.295 | c=0.998347
[Epoch 0004] loss=18.1746 cls=1.7834 smmd=3.0056 ct=6.8426 rec=1.3917 | train/val/test=0.299/0.317/0.295 | c=0.998347
[Epoch 0005] loss=17.4248 cls=1.7605 smmd=2.6519 ct=6.8171 rec=1.3904 | train/val/test=0.310/0.325/0.308 | c=0.998347
[Epoch 0006] loss=16.6698 cls=1.7281 smmd=2.2998 ct=6.7892 rec=1.3895 | train/val/test=0.376/0.400/0.360 | c=0.998347
[Epoch 0007] loss=16.3252 cls=1.6839 smmd=1.9828 ct=7.4632 rec=1.3888 | train/val/test=0.420/0.454/0.406 | c=0.998347
[Epoch 0008] loss=15.6729 cls=1.6269 smmd=1.7003 ct=7.4124 rec=1.3878 | train/val/test=0.446/0.478/0.435 | c=0.998347
[Epoch 0009] loss=15.0192 cls=1.5554 smmd=1.4337 ct=7.3361 rec=1.3857 | train/val/test=0.494/0.524/0.474 | c=0.998347
[Epoch 0010] loss=14.5359 cls=1.4701 smmd=1.2644 ct=7.2616 rec=1.3812 | train/val/test=0.581/0.576/0.552 | c=0.998347
[Epoch 0011] loss=14.1545 cls=1.3747 smmd=1.1548 ct=7.2067 rec=1.3734 | train/val/test=0.611/0.603/0.594 | c=0.998347
[Epoch 0012] loss=13.8976 cls=1.2746 smmd=1.1140 ct=7.1750 rec=1.3615 | train/val/test=0.622/0.614/0.607 | c=0.998347
[Epoch 0013] loss=13.6744 cls=1.1754 smmd=1.0938 ct=7.1612 rec=1.3462 | train/val/test=0.630/0.624/0.616 | c=0.998347
[Epoch 0014] loss=13.5260 cls=1.0842 smmd=1.1073 ct=7.1597 rec=1.3295 | train/val/test=0.640/0.637/0.633 | c=0.998347
[Epoch 0015] loss=13.3860 cls=1.0068 smmd=1.1140 ct=7.1657 rec=1.3137 | train/val/test=0.658/0.662/0.661 | c=0.998347
[Epoch 0016] loss=13.2707 cls=0.9428 smmd=1.1211 ct=7.1740 rec=1.2997 | train/val/test=0.699/0.688/0.699 | c=0.998347
[Epoch 0017] loss=13.1836 cls=0.8893 smmd=1.1330 ct=7.1809 rec=1.2876 | train/val/test=0.725/0.705/0.712 | c=0.998347
[Epoch 0018] loss=13.0161 cls=0.8405 smmd=1.1000 ct=7.1837 rec=1.2767 | train/val/test=0.733/0.714/0.725 | c=0.998347
[Epoch 0019] loss=12.8640 cls=0.7935 smmd=1.0734 ct=7.1820 rec=1.2666 | train/val/test=0.736/0.723/0.731 | c=0.998347
[Epoch 0020] loss=12.6907 cls=0.7505 smmd=1.0339 ct=7.1771 rec=1.2567 | train/val/test=0.740/0.729/0.734 | c=0.998347
[Epoch 0021] loss=12.4630 cls=0.7131 smmd=0.9639 ct=7.1703 rec=1.2474 | train/val/test=0.748/0.736/0.736 | c=0.998347
[Epoch 0022] loss=12.3067 cls=0.6809 smmd=0.9252 ct=7.1636 rec=1.2387 | train/val/test=0.751/0.740/0.742 | c=0.998347
[Epoch 0023] loss=12.1544 cls=0.6522 smmd=0.8828 ct=7.1588 rec=1.2314 | train/val/test=0.763/0.749/0.751 | c=0.998347
[Epoch 0024] loss=11.9892 cls=0.6246 smmd=0.8280 ct=7.1566 rec=1.2261 | train/val/test=0.771/0.755/0.756 | c=0.998347
[Epoch 0025] loss=11.8121 cls=0.5978 smmd=0.7615 ct=7.1567 rec=1.2226 | train/val/test=0.786/0.760/0.760 | c=0.998347
[Epoch 0026] loss=11.7294 cls=0.5739 smmd=0.7363 ct=7.1582 rec=1.2207 | train/val/test=0.797/0.760/0.766 | c=0.998347
[Epoch 0027] loss=11.6845 cls=0.5539 smmd=0.7251 ct=7.1602 rec=1.2200 | train/val/test=0.812/0.766/0.779 | c=0.998347
[Epoch 0028] loss=11.5601 cls=0.5386 smmd=0.6702 ct=7.1624 rec=1.2200 | train/val/test=0.827/0.784/0.790 | c=0.998347
[Epoch 0029] loss=11.5847 cls=0.5277 smmd=0.6865 ct=7.1644 rec=1.2204 | train/val/test=0.837/0.797/0.795 | c=0.998347
[Epoch 0030] loss=11.5103 cls=0.5201 smmd=0.6507 ct=7.1662 rec=1.2212 | train/val/test=0.842/0.790/0.797 | c=0.998347
[Epoch 0031] loss=11.5472 cls=0.5141 smmd=0.6692 ct=7.1677 rec=1.2221 | train/val/test=0.842/0.793/0.799 | c=0.998347
[Epoch 0032] loss=11.4316 cls=0.5088 smmd=0.6117 ct=7.1694 rec=1.2229 | train/val/test=0.842/0.795/0.801 | c=0.998347
[Epoch 0033] loss=11.3821 cls=0.5038 smmd=0.5881 ct=7.1710 rec=1.2233 | train/val/test=0.844/0.797/0.803 | c=0.998347
[Epoch 0034] loss=11.2770 cls=0.4988 smmd=0.5382 ct=7.1724 rec=1.2231 | train/val/test=0.847/0.801/0.799 | c=0.998347
[Epoch 0035] loss=11.2084 cls=0.4930 smmd=0.5083 ct=7.1736 rec=1.2224 | train/val/test=0.850/0.803/0.801 | c=0.998347
[Epoch 0036] loss=11.1005 cls=0.4856 smmd=0.4607 ct=7.1744 rec=1.2212 | train/val/test=0.851/0.806/0.804 | c=0.998347
[Epoch 0037] loss=11.0076 cls=0.4757 smmd=0.4230 ct=7.1746 rec=1.2197 | train/val/test=0.855/0.810/0.806 | c=0.998347
[Epoch 0038] loss=10.8973 cls=0.4639 smmd=0.3785 ct=7.1740 rec=1.2179 | train/val/test=0.857/0.810/0.810 | c=0.998347
[Epoch 0039] loss=10.8264 cls=0.4522 smmd=0.3547 ct=7.1726 rec=1.2157 | train/val/test=0.861/0.815/0.815 | c=0.998347
[Epoch 0040] loss=10.8066 cls=0.4420 smmd=0.3565 ct=7.1702 rec=1.2133 | train/val/test=0.860/0.804/0.815 | c=0.998347
[Epoch 0041] loss=10.7235 cls=0.4336 smmd=0.3260 ct=7.1675 rec=1.2108 | train/val/test=0.861/0.804/0.819 | c=0.998347
[Epoch 0042] loss=10.6713 cls=0.4259 smmd=0.3096 ct=7.1657 rec=1.2087 | train/val/test=0.865/0.808/0.821 | c=0.998347
[Epoch 0043] loss=10.6567 cls=0.4184 smmd=0.3101 ct=7.1655 rec=1.2071 | train/val/test=0.867/0.808/0.819 | c=0.998347
[Epoch 0044] loss=10.5736 cls=0.4114 smmd=0.2742 ct=7.1675 rec=1.2060 | train/val/test=0.866/0.806/0.819 | c=0.998347
[Epoch 0045] loss=10.4772 cls=0.4056 smmd=0.2296 ct=7.1707 rec=1.2054 | train/val/test=0.868/0.810/0.821 | c=0.998347
[Epoch 0046] loss=10.4542 cls=0.4017 smmd=0.2200 ct=7.1740 rec=1.2051 | train/val/test=0.869/0.808/0.830 | c=0.998347
[Epoch 0047] loss=10.4534 cls=0.3985 smmd=0.2200 ct=7.1772 rec=1.2053 | train/val/test=0.870/0.808/0.830 | c=0.998347
[Epoch 0048] loss=10.4025 cls=0.3965 smmd=0.1934 ct=7.1806 rec=1.2058 | train/val/test=0.870/0.810/0.828 | c=0.998347
[Epoch 0049] loss=10.3855 cls=0.3959 smmd=0.1830 ct=7.1834 rec=1.2064 | train/val/test=0.871/0.810/0.828 | c=0.998347
[Epoch 0050] loss=10.3202 cls=0.3959 smmd=0.1481 ct=7.1853 rec=1.2071 | train/val/test=0.871/0.808/0.827 | c=0.998347
[Epoch 0051] loss=10.2598 cls=0.3964 smmd=0.1158 ct=7.1862 rec=1.2077 | train/val/test=0.876/0.810/0.827 | c=0.998347
[Epoch 0052] loss=10.2612 cls=0.3966 smmd=0.1149 ct=7.1863 rec=1.2083 | train/val/test=0.877/0.810/0.827 | c=0.998347
[Epoch 0053] loss=10.2298 cls=0.3964 smmd=0.0979 ct=7.1869 rec=1.2088 | train/val/test=0.879/0.810/0.828 | c=0.998347
[Epoch 0054] loss=10.2134 cls=0.3949 smmd=0.0893 ct=7.1872 rec=1.2092 | train/val/test=0.879/0.810/0.830 | c=0.998347
[Epoch 0055] loss=10.1814 cls=0.3927 smmd=0.0739 ct=7.1871 rec=1.2095 | train/val/test=0.881/0.808/0.832 | c=0.998347
[Epoch 0056] loss=10.1806 cls=0.3903 smmd=0.0754 ct=7.1858 rec=1.2093 | train/val/test=0.882/0.808/0.836 | c=0.998347
[Epoch 0057] loss=10.1589 cls=0.3871 smmd=0.0673 ct=7.1839 rec=1.2090 | train/val/test=0.885/0.808/0.838 | c=0.998347
[Epoch 0058] loss=10.1107 cls=0.3840 smmd=0.0462 ct=7.1827 rec=1.2086 | train/val/test=0.888/0.810/0.839 | c=0.998347
[Epoch 0059] loss=10.1101 cls=0.3810 smmd=0.0493 ct=7.1818 rec=1.2079 | train/val/test=0.892/0.814/0.843 | c=0.998347
[Epoch 0060] loss=10.0917 cls=0.3780 smmd=0.0433 ct=7.1818 rec=1.2072 | train/val/test=0.893/0.815/0.845 | c=0.998347
[Epoch 0061] loss=10.0652 cls=0.3752 smmd=0.0331 ct=7.1830 rec=1.2065 | train/val/test=0.895/0.819/0.849 | c=0.998347
[Epoch 0062] loss=10.0425 cls=0.3723 smmd=0.0243 ct=7.1854 rec=1.2058 | train/val/test=0.897/0.827/0.847 | c=0.998347
[Epoch 0063] loss=10.0407 cls=0.3692 smmd=0.0264 ct=7.1860 rec=1.2051 | train/val/test=0.898/0.830/0.847 | c=0.998347
[Epoch 0064] loss=10.0289 cls=0.3659 smmd=0.0236 ct=7.1847 rec=1.2047 | train/val/test=0.900/0.830/0.851 | c=0.998347
[Epoch 0065] loss=10.0202 cls=0.3626 smmd=0.0222 ct=7.1831 rec=1.2043 | train/val/test=0.902/0.832/0.852 | c=0.998347
[Epoch 0066] loss=9.9961 cls=0.3588 smmd=0.0132 ct=7.1812 rec=1.2041 | train/val/test=0.905/0.836/0.852 | c=0.998347
[Epoch 0067] loss=9.9847 cls=0.3557 smmd=0.0102 ct=7.1798 rec=1.2037 | train/val/test=0.908/0.839/0.854 | c=0.998347
[Epoch 0068] loss=9.9856 cls=0.3534 smmd=0.0135 ct=7.1788 rec=1.2032 | train/val/test=0.909/0.843/0.854 | c=0.998347
[Epoch 0069] loss=9.9632 cls=0.3512 smmd=0.0048 ct=7.1778 rec=1.2027 | train/val/test=0.911/0.845/0.856 | c=0.998347
[Epoch 0070] loss=9.9507 cls=0.3489 smmd=0.0014 ct=7.1763 rec=1.2022 | train/val/test=0.909/0.847/0.854 | c=0.998347
[Epoch 0071] loss=9.9478 cls=0.3470 smmd=0.0028 ct=7.1749 rec=1.2015 | train/val/test=0.909/0.843/0.854 | c=0.998347
[Epoch 0072] loss=9.9444 cls=0.3454 smmd=0.0039 ct=7.1738 rec=1.2009 | train/val/test=0.908/0.843/0.854 | c=0.998347
[Epoch 0073] loss=9.9334 cls=0.3436 smmd=0.0006 ct=7.1741 rec=1.2003 | train/val/test=0.907/0.845/0.852 | c=0.998347
[Epoch 0074] loss=9.9205 cls=0.3420 smmd=-0.0042 ct=7.1754 rec=1.1998 | train/val/test=0.907/0.845/0.852 | c=0.998347
[Epoch 0075] loss=9.9126 cls=0.3406 smmd=-0.0062 ct=7.1752 rec=1.1993 | train/val/test=0.909/0.843/0.856 | c=0.998347
[Epoch 0076] loss=9.9006 cls=0.3401 smmd=-0.0099 ct=7.1732 rec=1.1987 | train/val/test=0.908/0.843/0.856 | c=0.998347
[Epoch 0077] loss=9.8857 cls=0.3385 smmd=-0.0147 ct=7.1705 rec=1.1983 | train/val/test=0.909/0.845/0.858 | c=0.998347
[Epoch 0078] loss=9.8740 cls=0.3362 smmd=-0.0183 ct=7.1689 rec=1.1980 | train/val/test=0.909/0.845/0.856 | c=0.998347
[Epoch 0079] loss=9.8852 cls=0.3350 smmd=-0.0108 ct=7.1686 rec=1.1975 | train/val/test=0.909/0.843/0.854 | c=0.998347
[Epoch 0080] loss=9.8745 cls=0.3336 smmd=-0.0146 ct=7.1684 rec=1.1972 | train/val/test=0.909/0.843/0.854 | c=0.998347
[Epoch 0081] loss=9.8799 cls=0.3319 smmd=-0.0104 ct=7.1679 rec=1.1970 | train/val/test=0.911/0.843/0.854 | c=0.998347
[Epoch 0082] loss=9.8861 cls=0.3315 smmd=-0.0059 ct=7.1663 rec=1.1967 | train/val/test=0.911/0.843/0.854 | c=0.998347
[Epoch 0083] loss=9.8727 cls=0.3321 smmd=-0.0122 ct=7.1663 rec=1.1964 | train/val/test=0.911/0.843/0.852 | c=0.998347
[Epoch 0084] loss=9.8785 cls=0.3313 smmd=-0.0089 ct=7.1663 rec=1.1964 | train/val/test=0.911/0.843/0.852 | c=0.998347
[Epoch 0085] loss=9.8629 cls=0.3304 smmd=-0.0166 ct=7.1661 rec=1.1965 | train/val/test=0.912/0.841/0.854 | c=0.998347
[Epoch 0086] loss=9.8532 cls=0.3305 smmd=-0.0209 ct=7.1656 rec=1.1964 | train/val/test=0.913/0.841/0.854 | c=0.998347
[Epoch 0087] loss=9.8669 cls=0.3308 smmd=-0.0134 ct=7.1648 rec=1.1961 | train/val/test=0.912/0.841/0.854 | c=0.998347
[Epoch 0088] loss=9.8672 cls=0.3291 smmd=-0.0125 ct=7.1648 rec=1.1962 | train/val/test=0.911/0.841/0.854 | c=0.998347
[Epoch 0089] loss=9.8519 cls=0.3285 smmd=-0.0195 ct=7.1644 rec=1.1960 | train/val/test=0.913/0.841/0.854 | c=0.998347
[Epoch 0090] loss=9.8603 cls=0.3290 smmd=-0.0143 ct=7.1627 rec=1.1957 | train/val/test=0.913/0.839/0.854 | c=0.998347
[Epoch 0091] loss=9.8554 cls=0.3291 smmd=-0.0162 ct=7.1618 rec=1.1955 | train/val/test=0.912/0.839/0.854 | c=0.998347
[Epoch 0092] loss=9.8515 cls=0.3279 smmd=-0.0174 ct=7.1611 rec=1.1956 | train/val/test=0.912/0.839/0.854 | c=0.998347
[Epoch 0093] loss=9.8447 cls=0.3277 smmd=-0.0206 ct=7.1617 rec=1.1955 | train/val/test=0.911/0.839/0.854 | c=0.998347
[Epoch 0094] loss=9.8504 cls=0.3274 smmd=-0.0175 ct=7.1621 rec=1.1954 | train/val/test=0.911/0.839/0.858 | c=0.998347
[Epoch 0095] loss=9.8422 cls=0.3268 smmd=-0.0213 ct=7.1618 rec=1.1954 | train/val/test=0.911/0.839/0.856 | c=0.998347
[Epoch 0096] loss=9.8412 cls=0.3259 smmd=-0.0210 ct=7.1604 rec=1.1954 | train/val/test=0.911/0.839/0.856 | c=0.998347
[Epoch 0097] loss=9.8406 cls=0.3259 smmd=-0.0206 ct=7.1601 rec=1.1952 | train/val/test=0.911/0.839/0.856 | c=0.998347
[Epoch 0098] loss=9.8314 cls=0.3257 smmd=-0.0246 ct=7.1598 rec=1.1950 | train/val/test=0.912/0.839/0.856 | c=0.998347
[Epoch 0099] loss=9.8395 cls=0.3246 smmd=-0.0197 ct=7.1590 rec=1.1950 | train/val/test=0.913/0.839/0.856 | c=0.998347
[Epoch 0100] loss=9.8254 cls=0.3246 smmd=-0.0262 ct=7.1588 rec=1.1948 | train/val/test=0.914/0.839/0.854 | c=0.998347
[Epoch 0101] loss=9.8295 cls=0.3247 smmd=-0.0234 ct=7.1585 rec=1.1945 | train/val/test=0.912/0.839/0.854 | c=0.998347
[Epoch 0102] loss=9.8251 cls=0.3236 smmd=-0.0245 ct=7.1580 rec=1.1943 | train/val/test=0.913/0.839/0.854 | c=0.998347
[Epoch 0103] loss=9.8245 cls=0.3231 smmd=-0.0241 ct=7.1581 rec=1.1941 | train/val/test=0.911/0.839/0.852 | c=0.998347
[Epoch 0104] loss=9.8225 cls=0.3228 smmd=-0.0242 ct=7.1572 rec=1.1939 | train/val/test=0.913/0.839/0.854 | c=0.998347
[Epoch 0105] loss=9.8260 cls=0.3225 smmd=-0.0217 ct=7.1557 rec=1.1938 | train/val/test=0.913/0.839/0.854 | c=0.998347
[Epoch 0106] loss=9.8267 cls=0.3221 smmd=-0.0210 ct=7.1552 rec=1.1938 | train/val/test=0.913/0.839/0.854 | c=0.998347
[Epoch 0107] loss=9.8140 cls=0.3224 smmd=-0.0276 ct=7.1556 rec=1.1938 | train/val/test=0.913/0.839/0.852 | c=0.998347
[Epoch 0108] loss=9.8219 cls=0.3227 smmd=-0.0236 ct=7.1556 rec=1.1937 | train/val/test=0.913/0.839/0.854 | c=0.998347
[Epoch 0109] loss=9.8187 cls=0.3224 smmd=-0.0253 ct=7.1555 rec=1.1938 | train/val/test=0.914/0.839/0.854 | c=0.998347
[Epoch 0110] loss=9.8208 cls=0.3223 smmd=-0.0243 ct=7.1549 rec=1.1939 | train/val/test=0.914/0.841/0.856 | c=0.998347
[Epoch 0111] loss=9.8151 cls=0.3223 smmd=-0.0270 ct=7.1540 rec=1.1940 | train/val/test=0.913/0.839/0.856 | c=0.998347
[Epoch 0112] loss=9.8043 cls=0.3221 smmd=-0.0320 ct=7.1535 rec=1.1939 | train/val/test=0.914/0.839/0.854 | c=0.998347
[Epoch 0113] loss=9.8220 cls=0.3220 smmd=-0.0225 ct=7.1533 rec=1.1937 | train/val/test=0.913/0.841/0.854 | c=0.998347
[Epoch 0114] loss=9.8189 cls=0.3213 smmd=-0.0235 ct=7.1531 rec=1.1936 | train/val/test=0.913/0.841/0.856 | c=0.998347
[Epoch 0115] loss=9.8129 cls=0.3207 smmd=-0.0262 ct=7.1529 rec=1.1936 | train/val/test=0.914/0.839/0.856 | c=0.998347
[Epoch 0116] loss=9.8208 cls=0.3204 smmd=-0.0221 ct=7.1536 rec=1.1936 | train/val/test=0.914/0.839/0.854 | c=0.998347
[Epoch 0117] loss=9.8149 cls=0.3209 smmd=-0.0249 ct=7.1535 rec=1.1934 | train/val/test=0.913/0.841/0.854 | c=0.998347
[Epoch 0118] loss=9.8127 cls=0.3208 smmd=-0.0256 ct=7.1528 rec=1.1933 | train/val/test=0.913/0.841/0.854 | c=0.998347
[Epoch 0119] loss=9.8082 cls=0.3205 smmd=-0.0275 ct=7.1521 rec=1.1933 | train/val/test=0.913/0.841/0.854 | c=0.998347
[Epoch 0120] loss=9.8070 cls=0.3202 smmd=-0.0281 ct=7.1525 rec=1.1933 | train/val/test=0.913/0.841/0.854 | c=0.998347
[Epoch 0121] loss=9.8144 cls=0.3204 smmd=-0.0244 ct=7.1524 rec=1.1933 | train/val/test=0.914/0.841/0.852 | c=0.998347
[Epoch 0122] loss=9.8026 cls=0.3203 smmd=-0.0303 ct=7.1524 rec=1.1934 | train/val/test=0.914/0.841/0.852 | c=0.998347
[Epoch 0123] loss=9.8019 cls=0.3202 smmd=-0.0305 ct=7.1521 rec=1.1933 | train/val/test=0.914/0.839/0.852 | c=0.998347
[Epoch 0124] loss=9.7988 cls=0.3198 smmd=-0.0315 ct=7.1512 rec=1.1933 | train/val/test=0.914/0.843/0.852 | c=0.998347
[Epoch 0125] loss=9.8032 cls=0.3197 smmd=-0.0286 ct=7.1505 rec=1.1931 | train/val/test=0.914/0.843/0.852 | c=0.998347
[Epoch 0126] loss=9.7948 cls=0.3193 smmd=-0.0324 ct=7.1510 rec=1.1929 | train/val/test=0.912/0.843/0.854 | c=0.998347
[Epoch 0127] loss=9.7986 cls=0.3185 smmd=-0.0297 ct=7.1508 rec=1.1928 | train/val/test=0.912/0.843/0.854 | c=0.998347
[Epoch 0128] loss=9.7986 cls=0.3179 smmd=-0.0286 ct=7.1496 rec=1.1926 | train/val/test=0.914/0.843/0.852 | c=0.998347
[Epoch 0129] loss=9.8001 cls=0.3181 smmd=-0.0269 ct=7.1487 rec=1.1923 | train/val/test=0.912/0.843/0.852 | c=0.998347
[Epoch 0130] loss=9.8039 cls=0.3177 smmd=-0.0245 ct=7.1481 rec=1.1922 | train/val/test=0.913/0.843/0.854 | c=0.998347
[Epoch 0131] loss=9.7902 cls=0.3168 smmd=-0.0313 ct=7.1478 rec=1.1924 | train/val/test=0.913/0.843/0.851 | c=0.998347
[Epoch 0132] loss=9.7946 cls=0.3178 smmd=-0.0293 ct=7.1480 rec=1.1923 | train/val/test=0.913/0.843/0.851 | c=0.998347
[Epoch 0133] loss=9.7962 cls=0.3185 smmd=-0.0287 ct=7.1477 rec=1.1922 | train/val/test=0.914/0.843/0.854 | c=0.998347
[Epoch 0134] loss=9.7933 cls=0.3176 smmd=-0.0302 ct=7.1471 rec=1.1925 | train/val/test=0.915/0.843/0.854 | c=0.998347
[Epoch 0135] loss=9.7938 cls=0.3174 smmd=-0.0301 ct=7.1469 rec=1.1926 | train/val/test=0.913/0.843/0.852 | c=0.998347
[Epoch 0136] loss=9.7956 cls=0.3180 smmd=-0.0292 ct=7.1468 rec=1.1925 | train/val/test=0.913/0.843/0.851 | c=0.998347
[Epoch 0137] loss=9.7973 cls=0.3186 smmd=-0.0284 ct=7.1467 rec=1.1924 | train/val/test=0.913/0.843/0.854 | c=0.998347
[Epoch 0138] loss=9.7990 cls=0.3178 smmd=-0.0275 ct=7.1464 rec=1.1926 | train/val/test=0.914/0.843/0.856 | c=0.998347
[Epoch 0139] loss=9.7929 cls=0.3169 smmd=-0.0306 ct=7.1470 rec=1.1928 | train/val/test=0.913/0.843/0.854 | c=0.998347
[Epoch 0140] loss=9.8031 cls=0.3179 smmd=-0.0255 ct=7.1473 rec=1.1925 | train/val/test=0.912/0.843/0.852 | c=0.998347
[Epoch 0141] loss=9.7924 cls=0.3182 smmd=-0.0309 ct=7.1474 rec=1.1924 | train/val/test=0.914/0.843/0.854 | c=0.998347
